Teckningsatagare
Richard Gazal
Andrew Randall
Kimberly Wrixon
Otto Persson (ordforande) via Hylbo Gard
Ej namngivna
Swedbank Robur Ny Teknik
Skandia Fonder
Thoren Tillvaxt
Reti Televisive Italiane
Concejo Invest
Arne Grundstrom
Clas Mellgren
P O Andersson
Bengt Walerud
Mangold FK
Daniel Johnsson
Aggregate Media
Michael Lindhoff
Reidar Langmo (ledamot) via Rebelijo
Tass
Polynom Investment
Sonny Johansson
Andreas Bergstrom
Taptum
Xpecunia Nordic
Peter Hamberg privat och via Hamberg Forvaltning
Magnus Hogstrom
Tigerrace
AZTIQ via Sumar Pharma
ES Aktiehandel
Urus
Karl Karlsson (styrelseordforande)
 privat och via Alsakali Equity
First Venture Sweden
Delcea Forvaltning
Magnus Wahlquist
Entreprenorinvest Sverige
Almi Invest
Jinderman & Partners
Thomas Wiklund (ledamot) via Dendera Venture
Johan Kjell
Vahid Toosi
Peter Sigfrid
Christoffer De Geer
Stefan Rust
Bergendahl & Son
Capital World Investors
Erik Selin Fastigheter
Svolder
Handelsbanken Fonder
Jussi Ax
Wilhelm Risberg
Stiftelsen H&M Foundation
Swedbank Robur
DnB Funds Management
Livforsakringsbolaget Skandia och Skandia Fonder
Carnegie Fonder
Berenberg
Fjarde AP-Fonden
Per Nilsson via Rasunda Advice
Gerhard Dal via Capidal
Luca Di Stefano
Joel Westerstrom
Redeye High Quality Specialplaceringsfond
Mikael Lonn
Jensen Invest
Jonas Rydin (ledamot) via Cajory
Robert Dahlquist (ledamot) via DT2W
Jacob Karlsson via bolag
Dammskogen Forvaltning
Peter Liljestrand
Carl Bergenstrahle
Stefan Edberg
AB Arvid Svensson
Sandahlsbolagen Sweden AB
Lannebo Fonder
JosefssonXL
Enter Smabolagsfond
E. Öhman J:or Fonder
RoosGruppen
Bang-Melchior Holding
Concejo
Øivind Brunsell (VD for Adtractions norska dotterbolag) via BRNO
Gar-bo Forsakring
NFT Ventures
Mangold
Ålands Ömsesidige Forsakringsbolag
Daniel Hecker
Tredje AP-fonden
Swedbank Robur Fonder
Weland Vardepapper
Kari Stadigh
Ulf och Bo Eklof Invest
Safe Return Asset Management Nordic for kunders rakning
Pong Invest
Knil
SBB i Norden
Beijer Ventures
Adma Forvaltnings
Norrlandspojkarna
Clearance Capital
Lansforsakringar
Rutger Arnhult genom M2 Asset Management
ODIN Forvaltning
KG Knutsson
Skandnet Group
Mohanned Al-Nusif
Consularis Venture
Strategic Wisdom Nordic
Stiftelsen Chalmers Tekniska Hogskola
Goran Ofsén
Gerhard Dal
Stefan Henriksson
Philip Lochen
Creades
Nordea Asset Management
Polynom Invest
Ahmed Mirée
Kent Eklund
Capitral
Alexander Schoeneck
UM Invest
Partnerinvest Övre Norrland
Eco Group i Umea
Nybergs Fastigheter & Forvaltning
Mikael Vistrand
Cliens Kapitalforvaltning
Grenspecialisten via MW Asset Management
Johan Thorell via Gryningskust
Proventus
Cloud Capital
Vasastaden Holding
FCG Fonder
Aktia Bank
Modelio Equity
Nordic Cross Asset Management
Specialist Kirurgen Stefan Nydahl
CapMate
Jimmy Landerman
Danny Lundblad
Anders Axelsson
I Love Lund
Familjen Brunqvist via Arctic Seals
Goran Hakansson
Schibsted Tillvaxtmedier
LMK
C Worldwide Asset Management
SPSW Capital
Jesper Langebro
Creative Opportunities
Olof Andersson
Northern CapSek Ventures
Backing Minds
Lena Apler via bolag
Fore C Investment Holding
EMK Holding
Petter Wingstrand
Quinary Investment
Faro Capital
AMF
If Skadeforsakring
Nordea Fonder
I&T Asset Management
Alecta
FIL Investments International
Mawer Investment Management
WCM Investment Management
Berenberg via investeringsfond
Strand Kapitalforvaltning
Norron Asset Management
Jula miljo och energi (kundvarukedjan Jula)
Organofuel Sweden
Armando Cordova med bolag
Jonas Hafrén
Rutger Arnhult via M2 Asset Management
Eiffel Investment Group via bolag
John Fallstrom via Rothesay
Cantaloupe
Jorgen Bertilsson
Mikael Lunga
Kiraly Laszlo
Contrix
Carl-Victor Hammarsten
Humle
Ålandsbanken
Oliver Molse
 m.fl.
Jens Mioen
AMF Fonder
Forsta AP-fonden
Grandeur Peak Global Advisors
Lazard Asset Management Securities
Didner & Gerge Fonder
Erik Selin via Forvaltnings AB Fargax
STC Interfinans
Alf Svedulf
Gerald Engstrom
Hanna Wachtmeister
Amaury de Poret
Charlotte Runius
Bjorn Petersson
Malabar Investments
WF Asian Reconnaissance Fund
Coeli Asset Management
Invium Partners
John Fallstrom
Nordea Investment Management
SEB Investment Management
Bygg-Gota Goteborg
PriorNilsson Fonder
Danske Invest
Consensus Asset Management
Abanico Invest
Muirfield Invest
Polynom
Global Roadrunner
CD Holding
Lars Terney
Jimmie Landerman
AMF Pension
ODIN Fonder
Latour
Alexander Eskilsson
Özkan Ego via Barego Holding
Henrik Stenholm
CRCH Investmets
Prior & Nilsson Fonder
Fosielund Holding
Peter Nilsson
Paul-Eric Lindquist
Anne Soderstrom
Maria Jannering
Stefan Andersson
Hans Ahlgren
Negma Group
Bio Rad Luxembourg
Cervantes Capital
Greenspecialisten
First Venture
Johan Beijar via bolag
