Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Fragbite;2021-07-12;First North;Skills Corp. ;3;15;                          73        ;321;4;100;Inbox Capital,Ilija Batljan,Mikael Pettersson,Karl-Erik von Bahr,Stefan Tengvall;;60.,7;Stefan Tengvall;Niclas Bergkvist;9,2;The Barbarian Group,Janek Skoglund,Ägare Playdigious,Santeh Dahl Invest,Museion Forvaltning;;Smabolag;89.22;8,75;fragbitegroup.com;Lindahl,Nordnet Bank,Avanza Bank 
Wicket Gaming;2021-07-22;Spotlight;Eminova ;0;19;                          280        ;38;7;100;Johan Svensson,Sebastian Clausin,Polynom Investment,Fredrik Holst,Jinderman & Partners;;77.,3;Eric de Basso;Erik Nerpin;7,76;Johan Svensson privat och via bolag,Sebastian Clausin,Erik Nerpin privat och via Blasieholmen Investment Group,Mikael Pettersson,Polynom Invest;;Mikrobolag;100;30,71;wicketgaming.com;Torngren Magnell 
Modus Therapeutics;2021-07-22;First North;Sedermera Corporate Finance ;3;33;                          -46        ;103;6,4;100;Karolinska Development AB,Hans Wigzell,Mattias Svensson,Polynom Investment AB,Marcus Jensmar;;57.,6;John Öhd;Viktor Drvota;12,01;Karolinska Development AB,KDev Investments AB,John Öhd;;Mikrobolag;0;-12,16;www.modustx.com;Markets & Corporate Law,Nordic Issuing 
Profoto;2021-07-01;Nasdaq Stockholm;Carnegie ;0;941;                          61        ;2640;66;0;Lannebo Fonder,Svolder,Herenco Holding,Strand Kapitalforvaltning;;53.,1;Anders Hedebark;Hans Eckerstrom;46,53;Anders Hedebark via Burken Invest,Conny Dufgran via Nedergransta Forvaltning,Hans Eckerstrom,Petter Sylvan,Magnus Brannstrom;									Profoto Invest			;Miljardbolag;100;27,27;investors.profoto.com/sv;Handelsbanken,Vinge,Mannheimer Swartling,Baker McKenzie,Avanza Bank 
Aquaticus Real Estate;2021-07-09;Spotlight;Arctic Securities ;5;308;                          -6        ;308;100;100;;;0;;;Uppgift saknas;;;Smabolag;0;2;www.aquaticus.se;Nordnet Bank 
Linkfire;2021-06-28;First North;Pareto ;3;150;                          -45        ;652;11,2;100;Tre ej namngivna investerare utan bindande atagande,NCP-IVS Fund III,Thomas Rudbeck via Bobhund,Charlotte Klinge via CK Holding,Jesper Eigen Møller via bolag;;61.,3;Lars Ettrup;Jesper Eigen Møller;27,6;NCP-IVS Fund III,Rocket Group - ags till 80% av Lars Ettrup,Jeppe Faurfelt via bolag,Thomas Rudbeck via Bobhund,Övriga styrelsemedlemmar och ledningspersoner;;Smabolag;27.57;-2,68;investors.linkfire.com;Setterwalls,Bruun & Hjejle,Baker McKenzie,Nordnet Bank,Avanza Bank 
Amniotics;2021-07-06;First North;Redeye ;4;60;                          -56        ;325;20,5;100;Rothesay Limited,Tass,Lars Stigsson via LSCS Invest,Christer Fahraeus via Theop Seed Capital,Marcus Larsson via Deflexum;;71.,7;Kare Engkilde;Peter Buhl Jensen;35,3;Lars Stigsson via LSCS Invest,Marcus Larsson via Deflexum,Christer Fahraeus via Theope Seed Capital,Parimus Invest,Epiprocure Management;;Smabolag;0;-34,15;www.amniotics.com;Nordnet Bank,Nordic Issuing,Lago Kapital,Setterwalls 
Godsinlosen;2021-07-07;First North;Vastra Hamnen ;3;109;                          -58        ;293;18,6;85;Midroc Invest,Proethos fond,Jimmy Jonsson,Henrenco Holding,Joel Malmborg;;79.,8;Christian Jansson;Kenneth Andrén;37,97;Christian Jansson via il Porto Group,Patrik Zalewski via bolag,Rotorbulk,The Store International,Torehall Strategic Management;									Jens Thulin via bolag,					Patrik Zalewski via bolag,					Henrik Fors-Ellnér			;Smabolag;0;-3,23;www.giabnordic.se;Nordnet Bank,Lindahl,Aqurat 
Pila Pharma;2021-07-15;First North;Goteborg Corp. ;2;35;                          -21        ;145;9;100;Vimpu Intressenter,Almi,Sebastian Clausin,JAJR Holding,Gerhard Dal;;57.,7;Dorte X. Gram;Fredrik Buch;31,46;Dorte X. Gram via Xenia Pharma,Vimpu Intressenter,Almi,Sebastian Melchor Clausin,JAJR Holding;;Mikrobolag;0;13;pilapharma.com;MAQS 
OX2;2021-06-23;First North;ABG Sundal Collier,Carnegie ;4;4400;                          -27        ;16351;60;14;Danica Pension,Handelsbanken Fonder,Lannebo Fonder,Lansforsakringar,AFA Forsakring;;51.,8;Paul Stormoen;Johan Ihrfelt;2,34;Peas Industries,Altor,Danica,Handelsbanken Fonder,Lannebo Fonder;									Peas Industrier och Altor via Xygen			;Miljardbolag;49.73;-8,33;www.ox2.com;Danske Bank,SEB,Gernandt & Danielsson,Baker McKenzie 
tbd30;2021-06-24;Nasdaq Stockholm;Carnegie ;1;800;                          -4        ;1010;100;100;RoosGruppen,Carnegie Fonder,Lannebo Fonder,Nordic Cross Asset Management,Norron;;61.,4;Anders Lonnqvist;Ingrid Bonde;28,22;Anders Lonnqvist via Servisen Investment Management,Anders Boos via AGB Kronolund,RoosGruppen,Carnegie Fonder,Lannebo Fonder;;Miljardbolag;8.52;0,02;tbd30.se;DNB 
Creaspac;2021-06-23;Nasdaq Stockholm;SEB ;2;2480;                          0        ;2500;100;100;Creades,Swedbank Robur,Lannebo Fonder,Prior & Nilsson Fond- och kapitalforvaltning,SEB Investment Management;;55.,2;John Hedberg;Sven Hagstromer;0,32;Creades,Swedbank Robur,Lannebo Fonder,Prior & Nilsson Fond- och kapitalforvaltning,SEB Investment Management;;Miljardbolag;0;-1,3;www.creaspac.se;Cederquist,Avanza Bank 
Wyld Networks;2021-07-02;First North;Mangold FK ;5;25;                          53        ;91;11;100;Tern,Mangold FK,Ylber Rexhepi,Tuvedalen,Bernhard von der Osten-Sacken;;80;Alastair Williamson;Mats Andersson;2,02;Tern,Wardhaman Family,Mangold,Ylber Rexhepi,Tuvedalen;;Mikrobolag;0;-30,91;wyldnetworks.com;Schjødt 
Komplett Group;2021-06-21;Oslo Børs;ABG Sundal Collier,SEB ;2;1332;                          -4        ;4185;58,5;0;;;0;Lars Olav Olaussen;Nils Kloumann Selte;2,66;Stein Erik Hagen med familj via Canica Invest,Ledamoter, ledning och anstallda pa Komplett Group;									Stein Erik Hagen med familj via Canica Invest			;Miljardbolag;100;-1,03;www.komplettgroup.com;DNB,Pareto,Thommessen,Schjødt 
Hexicon;2021-06-18;First North;Pareto ;2;300;                          -29        ;1088;3;100;Ilija Batjlan via Ilija Batljan Invest,Helikon Investments,Peter M. Anker via Langebru,Gulfstream Investment Group,James Brown;;73.,3;Marcus Thor;Arne Almerfors;33,37;Gulfstream Investment Group,Ilija Batjlan via Ilija Batljan Invest,Gamla Livforsakringsaktiebolaget SEB Trygg Liv,Back in Black Capital,Bjorn Segerblom;;Miljardbolag;91.54;4,67;www.hexicon.eu;Sparebank 1 Markets,Setterwalls,Avanza Bank 
First Venture Sweden;2021-07-02;First North;Naventus Corp. ;2;245;                          -47        ;366;9,75;100;Rutger Arnhult via M2 Asset Management,WMG Advisors,Movenio Fastigheter,Tham Special Investment,Dafo Brand;;75.,5;Rune Nordlander;Peter Werme;3,71;Rutger Arnhult via M2 Asset Management,RoosGruppen,Tham Special Investment,WMG Advisors,Peter Werme och Rune Nordlander via Forsta Entreprenorsfonden;;Smabolag;0;-17,95;first-venture.se;Delphi,Aqurat 
Eevia Health;2021-06-29;Spotlight;Partner FK ;1;26;                          -20        ;106;7,6;100;Consensus Lighthouse Asset,Polynom Investment,Modelio Equity,Hampus Ljunggren,Jussi Ax;;58;Stein Ulve;Martin Bjørklund;27,91;Martin Bjorklund via Betulum,Stein Ulve,Quiq Distribution Holding,Polynom Investment,Vegar Holding;;Mikrobolag;0;-18,55;eeviahealth.com;OP Bank 
Aros Bostad;2018-11-19;First North;DNB,Erik Penser Bank ;1;20;                          0        ;354;98;100;;;0;Magnus Andersson;Johan Gustavsson;8,54;Vencom Residential,Samir Taha (via bolag),Per Rutegard (via bolag),LMK;;Miljardbolag;0;2,04;arosbostad.se;Avanza Bank,Baker McKenzie 
Aros Bostad stamaktie;2021-06-16;First North;DNB ;1;347;                          -0        ;2106;56;86;Rutger Arnhult via M2 Asset Management,Skandia Liv och Skandia Fonder,PriorNilsson,Bell Rock Capital Management,Cicero Fonder;;80.,6;Magnus Andersson;Johan A. Gustavsson;49,71;Johan A. Gustavsson via Vencom Residential,Samir Taha via Sultanen Invest,Per Rutegard via PRP Management,Rutger Arnhult via M2 Asset Management,LMK Venture;									LMK Venture			;Miljardbolag;33.34;-;arosbostad.se;Baker McKenzie 
Diagonal Bio;2021-07-16;First North;Sedermera Corporate Finance ;3;40;                          -48        ;96;10,5;100;Polynom Investment,Peter Nilsson,Michael Hall,Bengt Andersson,Paginera Invest;;54.,9;Jack Egelund-Madsen;Eva Nilsagard;36,6;Kushagr Punyani,Andreas Nyberg,Acantor Holding,Polynom Investment,Bengt Andersson;;Mikrobolag;0;44,76;diagonalbio.com;Markets & Corporate Law,Nordic Issuing 
Physitrack;2021-06-18;First North;DNB ;2;175;                          4        ;624;40;100;Consensus Asset Management,Atlant Fonder;;71.,4;Henrik Molin;Elaine Sullivan;46,14;Nathan Skwortsow,Henrik Molin,Dankea,Ocampo International,Breht McConville;;Smabolag;99.89;16,25;www.physitrackgroup.com;Baker McKenzie,White & Case 
Acast;2021-06-17;First North;ABG Sundal Collier,Carnegie,Barclays ;1;1831;                          -48        ;6491;38;71;Alecta,Kuvari Partners,Lugard Road Capital,Handelsbanken Fonder,Forsta AP-fonden;;56.,3;Ross Adams;Andrea Gisle Joosen;1,47;Alfvén & Didrikson via Garden Street Stories,Moor&Moor,Forsta AP-fonden,Swedbank Robur Fonder,Bonnier Ventures;									Moor&Moor,					Bonnier Ventures,					Inbox Capital,					Garden Street Stories,					Johan Billgren			;Miljardbolag;0;-0,79;acast.com;Cederquist,Milbank,Baker McKenzie 
RevolutionRace;2021-06-16;Nasdaq Stockholm;ABG Sundal Collier,Carnegie ;0;2464;                          10        ;8469;75;0;Capital Worlds Investors,Blackrock,Swedbank Robur,Ophir Asset Management,Handelsbanken Fonder;;56.,8;Pernilla Nyrensten;Paul Fischbein;28,43;Altor,Pernilla och Niclas Nyrensten via Nyrensten Global Holding,Capital Worlds Investors,Blackrock,Swedbank Robur;									Altor,					Pernilla och Niclas Nyrensten via Nyrensten Global Holding,					Övriga			;Miljardbolag;100;17,07;corporate.revolutionrace.com/sv;Nordea,Mannheimer Swartling,Vinge 
TH1NG;2021-06-16;First North;G&W FK ;7;35;                          -67        ;138;11;100;Robert Eklann,Mark Hausschild,Silva Gomes,Fastighet Vasterbro,Klas Westholm via bolag;;48.,7;Klas Westholm;Paul Rundkvist;39,24;Box Play,Klas Westholm via Westholm Invest,David Tombs via Miradot,Kim Liljegren privat och via KL Ventures;;Smabolag;100;-23,18;www.th1ng.se;Nordnet Bank,Hagberg & Aneborn FK 
Emplicure;2021-06-24;First North;Mangold FK ;4;40;                          9        ;85;4,15;100;Mangold FK,Johan Wieslander via bolag,Monesi Forvaltning,Thomas Lundqvist,Ej namngivna;;80.,1;Torbjorn W. Larsson;Thomas Lundqvist;34,27;Thomas Lundqvist,Susanne Bredenberg,Hakan Engqvist via Aduro Material,Monesi Forvaltning,Mangold FK;;Mikrobolag;0;-18,07;www.emplicure.com;Lindahl 
Codemill;2021-06-18;First North;Erik Penser Bank ;4;48;                          -59        ;258;19;100;Ej namngivna;;50.,5;Rickard Lonneborg;Henrik Wenckert;36,35;Rickard Lonneborg genom Grindcode Holding,Umesto Ventures,Johanna Bjorklund genom Old Mother Holding;;Smabolag;0;-10,28;codemill.se;Delphi 
USWE Sports;2021-06-24;First North;Vastra Hamnen ;2;50;                          49        ;170;39,5;100;Joel Eklund via Fosielund Holding,Mastan,JCC Group Invest Sweden,Jesper Langebro,Tibia Konsult;;80;Jacob Westerberg;Mats Jacobson;33,01;Joel Eklund via Fosielund Holding,Hexiron,Tibia Konsult,Ålasaxen,Poqvint;;Smabolag;0;-5,82;www.uswe-sports.com/investor-relations;Setterwalls 
Biosergen;2021-06-24;First North;Translution Capital ;5;50;                          -43        ;281;10;100;Östersjostiftelsen,Peder M. Andersen,Richard Forster,Niels Laursen;;42;Peder M. Andersen;Torsten Goesch;4,41;Östersjostiftelsen,Rosetta Capital,SINTEF Venture,Peder M. Andersen via bolag,Richard Forster;;Smabolag;0;-26,1;biosergen.net;DNB,Nordnet Bank,Lindahl 
Xpecunia;2021-06-23;NGM SME;Goteborg Corp. ;2;45;                          0        ;207;6;100;Milan Pournouri,Vahid Toosi,Oliver Aleksov,Per Vasilis,Marcus Kinnander;;82.,2;Daniel Mostrom;Andreas Hall;15,99;Jorns Bullmarknad,Daniel Mostrom,FAAV Invest,TopRight Noric,Taptum Finance;;Smabolag;0;-12,67;xpecunia.se;Aqurat 
Intellego Technologies;2021-06-24;First North;Eminova ;4;15;                          58        ;140;7,2;100;Jens Olsson,Sabouri Gruppen,Tass,Rune Loderup,Per-Ola Rosenqvist privat och via Ironblock;;66.,7;Claes Lindahl;Bjorn Wetterling;23,72;Claes Lindahl via CIL Holding,Henrik Borjesson via Torsion Invest,John Fallstrom,Jens Olsson,Sabouri Gruppen;;Smabolag;100;-35,28;intellego-technologies.com;Eversheds Sutherland Advokatbyra 
Permascand;2021-06-04;First North;ABG Sundal Collier,Carnegie ;2;505;                          -12        ;2017;34;59;SEB Investment Management,Lansforsakringar,RAM ONE;;54.,4;Peter Lundstrom;Per Lindberg;26,51;Norvestor VI,Ingar Jensen via bolag,Fredrik Herlitz via bolag,Peter Lundstrom via bolag,Mario Houde via bolag;									Norvestor VI,					Peter Lundstrom via bolag,					Chlorcell Technologies,					Mario Houde via bolag,					Lars Nyman			;Miljardbolag;94.56;7,99;permascand.com;Baker McKenzie,Vinge 
Sleep Cycle;2021-06-08;Nasdaq Stockholm;SEB,Carnegie ;1;341;                          -24        ;1360;70;29;Handelsbanken Fonder,Skandia Fonder,E. Öhman J:or;;44;Carl Johan Hederoth;Lars Berg;Uppgift saknas;Pierre Siri via GLA Invest,Maciej Drejak via h265 AB,Maciej Drejak via MCGA,Handelsbanken Fonder,Petter Wallin;									Pierre Siri via GLA Invest,					Maciej Drejak via h265 AB,					Maciej Drejak via MCGA,					Petter Wallin			;Miljardbolag;100;14;www.sleepcycle.com;Vinge,White & Case,Nordnet Bank 
MilDef Group;2021-06-04;Nasdaq Stockholm;SEB ;2;463;                          31        ;1300;36,5;86;Svolder,Carnegie Fonder,LMK Venture Partners,Grenspecialisten,Erik Syrén;;64.,8;Bjorn Karlsson;Jan Andersson;20,19;Mildef Crete Inc,Marianne Trolle,Adam Odelid,Isac Odelid,Elise Odelid;									Marianne Trolle,					Adam, Isac och Elise Odelid,					Bjorn Karlsson,					Daniel Ljunggren,					Adam Mentel			;Miljardbolag;35.48;1,1;mildef.com;Avanza Bank,HWF Advokater 
SaveLend Group;2021-06-09;First North;Corpura ;2;50;                          16        ;335;7,5;100;Thoren Tillvaxt AB,Hans Isoz,Jimmy Jonsson,Exceca Allocation AB,Jacob Grapengiesser;;75.,8;Ludwig Pettersson;Bo Engstrom;44,92;Ludwig Pettersson via bolag,Halomont Oü,Per Wolf via bolag,Jonas Ahlberg via bolag,Jacob Gevcen via bolag;;Smabolag;0;19,47;savelendgroup.se;Hagberg & Aneborn FK,Cirio 
Elicera Therapeutics;2021-06-11;First North;G&W FK ;4;52;                          -41        ;148;8;100;John Fallstrom,Gerhard Dal,Mona Hamilton,Victory Net Foundation,Ej namngivna;;64;Jamal El-Mosleh;Agneta Edberg;51,71;Magnus Essand,Di Yu,Jamal El-Mosleh,Cardeon,John Fallstrom;;Smabolag;100;-20;www.elicera.com;Delphi,Nordnet Bank 
MoveByBike;2021-06-16;Spotlight;Sedermera Corporate Finance ;5;21;                          -73        ;66;7,5;100;Eber Holding,Mikael Blihagen,Strategic Wisdom,Peter Nilsson,Stefan Lundgren;;54.,5;Lisette Hallström;Bedad Ansari;56,12;Jan Barchan via Briban Invest,Behdad Ansari via Dams Nordic,Johan Vedin,Nils Vedin,Anders Holm via Aqilles Invest Venture;;Mikrobolag;0;-48,53;movebybike.se;Markets & Corporate Law,Nordic Issuing 
Lucky Games;2021-06-23;First North;Eminova ;3;20;                          60        ;72;1,65;100;EveryMatrix,Alexander Schoeneck,Jens Olessen,Per Nilsson,Goran Ofsén;;70.,3;Mads Verner Jørgensen;Per Eriksson;21,24;Mads Verner Jørgensen via bolag,Rasmus Guldberg-Kjær via bolag,EveryMatrix,Blasieholmen Investment Group Equity,Jinderman & Partners;;Mikrobolag;0;30,3;ladyluckgames.io;Torngren Magnell 
Aventura Group;2021-06-14;First North;Augment Partners ;3;18;                          -26        ;93;28;100;Tradecity,Arash Pournouri,Gerhard Dal,Strategic Wisdom Nordic,Wictor Billstrom;;75.,3;Gustav Åstrom;Michael Thurow;76,06;Gustav Åstrom,Johan Aledal,Niklas Ponnert,Tradecity,Arash Pourmouri;;Mikrobolag;0;-3,54;aventura.group;HWF Advokater,Aqurat 
Linc;2021-05-28;Nasdaq Stockholm;ABG Sundal Collier,SEB ;1;1200;                          24        ;3780;64,5;100;Nordea Investment Management,Capital World Investors,Handelsbanken Fonder,Swedbank Robur,Enter Fonder;;68.,9;Karl Tobieson;Bengt Julander;68,25;Bengt Julander (privat och via Cronhamn Invest),Nordea Investment Management,Capital World Investors,Handelsbanken Fonder,Swedbank Robur;;Miljardbolag;100;31,78;linc.se;Hammarskiold,White & Case,Avanza Bank 
Odinwell;2021-06-09;Spotlight;Sedermera Corporate Finance ;3;30;                          -38        ;100;5;100;Patrik Byhmer via bolag;;11.,9;Klas Arildsson;Susanne Olauson;12,22;Patrik Byhmer via bolag,Swedbank Fonder,Nordea Fonder,Discover Capital,OstVast Capital Management;;Mikrobolag;0;30;odinwell.com;Markets & Corporate Law,Nordic Issuing,Shark Communication 
Aligro Planet Acquisition Company;2021-05-26;Nasdaq Stockholm;Carnegie ;2;1000;                          -5        ;1250;100;100;M2 Asset Management,Carnegie Fonder,Altira,Stena Finans,Hans Eckerstrom via bolag;;37.,9;Peder Egnell;Richard Bage;26,74;Hans Eckerstrom via bolag,M2 Asset Management,Carnegie Fonder,Richard Bage,Peder Egnell via bolag;;Miljardbolag;0;-1,36;www.apac.se;Handelsbanken,Baker McKenzie,White & Case 
Sozap;2021-06-09;First North;Augment Partners ;2;26;                          -11        ;136;16;100;Patrik Bloch,David Wallsten,Alexander Eskilsson,Martin Bauer,Dariush Hosseinian;;81.,3;Rade Prokopovic;Claes Wenthzel;27,42;Rade Prokopovic via bolag,Ivan Prokopovic,Rodgotoren,Ossian Hellers,Onoterat;;Mikrobolag;0;81;www.sozap.com;Vinge 
Arla Plast;2021-05-25;Nasdaq Stockholm;Carnegie ;0;414;                          -4        ;920;46;0;Nortal Investment,Svolder,RoosGruppen;;55.,6;Henrik Hakansson;Kenneth Synnersten;35,75;Synnersten Invest,Nortal Investment,Svolder,RoosGruppen;									Synnersten Invest			;Miljardbolag;100;26,09;www.arlaplastgroup.com;Torngren Magnell,Alfery Hrdina Advokáti,Schjødt 
Maven Wireless;2021-06-10;First North;Skills Corp. ;6;77;                          4        ;653;13;68;Midroc Invest,Edvin Austbø,Nordic Cross Small Cap Edge,Rockpoint ,T-bolaget;;69.,7;Fredrik Ekstrom;Anders Bjorkman;39,85;Gunnar Malmstrom via bolag,Hakan Samuelssons dodsbo,Fredrik Ekstrom,Goran Grosskopf,Almi;									RF Light,					Gunnar Malmstrom via bolag,					Urban Sidh,					Goran Grosskopf,					Johan Lundquist via bolag			;Smabolag;100;10,38;mavenwireless.com;Setterwalls 
Cedergrenska;2021-05-25;First North;Avanza Bank ;1;118;                          -48        ;580;50;68;Enter Fonder,FE Fonder,Prior & Nilsson Fonder;;67.,8;Niklas Palsson;Christian Drougge;53,91;Niklas Palsson,Hakan Soderstrom,Daniel Andersson via bolag,Christian Drougge via bolag,David Sandgren via bolag;									Niklas Palsson,					Hakan Soderstrom,					David Sandgren genom bolag,					Christian Drougge via Berkshore,					Daniel Andersson via bolag			;Smabolag;0;-;www.cedergrenska.se;Delphi 
Zesec of Sweden;2021-05-28;NGM SME;Mangold FK ;3;15;                          -53        ;72;7,1;100;Mangold FK,J.O. Mollerstrom Brothers Operation,EIME Consultants,Per Vasilis,Mikael Blihagen;;63.,5;Magnus Gilborne;Jonas Hagberg;27,96;Square Nine Managment & Holding,Provatum Holding,Ambassador of Kwan,Paring Holding,Nordic Tech Fund;;Mikrobolag;0;5,92;www.zesec.com;MAQS 
Ngenic;2021-06-08;First North;Redeye ;3;60;                          -54        ;180;40,5;100;Polar Structure,Bjorn Berg,Roger Karlsson via bolag,Anders Ericsson,Ej namngivna;;75;Bjorn Berg;Roger Karlsson;21,62;Polar Structure,Simon Josefsson Datakonsult,Fredrik Fernlund,Olof Lindbom,Bjorn Berg;;Smabolag;0;-29,38;ngenic.se;Lindahl,Nordnet Bank 
Checkin Group;2021-05-20;First North;Erik Penser Bank ;2;45;                          101        ;404;15,5;100;TIN Fonder,Knutsson Holdings,Norron Select,Erik Selin via bolag;;60;Kristoffer Cassel;Anders Borg;45,51;Kristoffer Cassel genom bolag,Alexey Kuznetsov,Quinary Investment,Nicklas Storakers,Wilhelm Risberg;;Smabolag;0;161,29;group.checkin.com;Bird & Bird 
Loyal Solutions;2021-06-03;First North;Sedermera Corporate Finance ;4;40;                          -36        ;190;20;100;Erik Hydeskov,Jens Olsson,Polynom Investment,Richard Kilander,Gerhard Dal;;74.,8;Peter Kisbye;Frank Hansen;41,21;Frank Hanssen via bolag,Peter Kisbye via bolag,Rudi Poula Raasthøj Nielsen via bolag,Helle Bernstorf Hydeskov via bolag,Martin Bernstorf Hydeskov via bolag;;Smabolag;0;-29,47;www.loyalsolutions.eu;Markets & Corporate Law,Nordic Issuing 
Safello;2021-05-12;First North;Corpura ;3;41;                          -63        ;276;13,5;100;White Star Capital,DCG International Investments,Northzone VII,Torbjorn Nilsson,Frank Schuil via bolag;;80;Frank Schuil;Jacob Jacobsson;32,56;Frank Schuil via bolag,White Star Capital,Joakim Johansson,Northzone VII,Emil Oldenburg;;Smabolag;0;175,56;safello.com;Schjødt,KassaiLaw 
Nilar International;2021-04-30;First North;Carnegie ;3;750;                          -90        ;3035;67;100;Handelsbanken Fonder,Forsta AP-fonden,Fjarde AP-Fonden,AFA Forsakring,BNP Paribas;;65.,2;Marcus Wigren;Michael Obermayer;0,12;Christopher Branden,Forsta AP-fonden,AkademikerPension,R&H Trust,Fredriksson & Forsell;;Miljardbolag;12.65;-;www.nilar.com;Baker McKenzie,Gernandt & Danielsson,Berenberg 
Twiik;2021-05-19;First North;Sedermera Corporate Finance ;5;16;                          -53        ;41;6,1;100;Polynom Investment AB,Jens Olsson,Goda Tider AB,Gerhard Dal,Jimmie Landerman;;56;Anders Gran;Marten Öbrink;17,62;Djakne SS III AB,Sagle AB,Karl Eklof,Salcin Invest AB,Öbrink Management AB;;Mikrobolag;0;-34,86;twiik.me;Markets & Corporate Law,Nordic Issuing 
Modelon;2021-04-28;First North;Pareto ;1;200;                          -39        ;485;44;75;Accendo Capital;;55;Magnus Gafvert;Christer Ljungberg;41,78;Modelon Group,Accendo Capital,Ansys;									Modelon Group			;Smabolag;100;5,91;www.modelon.com;Lindahl,Baker McKenzie,Avanza Bank 
Hemnet Group;2021-04-27;Nasdaq Stockholm;Morgan Stanley,Carnegie,Citigroup ;2;1879;                          29        ;10619;105;0;;;0;Cecilia Beck-Friis;Hakan Erixon;5,93;General Atlantic,Sprints Capital,Maklarsamfundet,Pierre Siri,Hakan Erixon;									General Atlantic,					Sprints Capital,					Care of Hemnet,					Pierre Siri			;Miljardbolag;100;68,13;www.hemnetgroup.se;Roschier,Linklaters,Barclays,Nordea 
JS Security;2021-05-12;Spotlight;Capval Corp. ;2;8;                          19        ;38;6;100;Oliver Molse,Thomas Jansson via bolag,Gerhard Dal,Per Vasilis,Scorpio AB;;66.,4;Hampus Nystrom;Christian Kronegard;40,5;Thomas Jansson via bolag,Pierre Gronberg,Erik Wahlin,Luca Di Stefano och Per Brilioth via bolag,Joakim Nystrom via bolag;;Mikrobolag;0;50,83;jssecurity.tech;Partner FK 
Duearity;2021-05-11;First North;Eminova ;3;25;                          148        ;85;6,3;100;Faro Capital,John Fallstrom,Tass,Krefting Finans,Fortic Finans;;75.,3;Fredrik Westman;Rom Mendel;60,99;Peter Arndt via Footloose Invest,Arash Golshenas och Ali Jehanfard via JeGol Group,Fredrik Westman via Hakull Adventure Capital,CBC Holding,Faro Capital;;Mikrobolag;0;5,71;www.duearity.com;Lindahl 
Hemply Balance;2021-05-06;NGM SME;Augment Partners ;1;13;                          -21        ;51;21,5;100;Gerhard Dal,Per Nilsson,Sebastian Clausin,Philip Lochen,Oliver Molse;;72.,8;Emil Sandin;Pingis Berg-Hadenius;40,69;Emil Sandin via bolag,Pingis Berg-Hadenius via bolag,Cnidaria,Pikes Peak,Edastra;;Mikrobolag;0;46,16;www.hemplybalance.com;Eversheds Sutherland Advokatbyra,Aqurat 
Spermosens;2021-05-05;Spotlight;Gemstone Capital ;4;24;                          207        ;53;5,63;100;Polynom Investment,Jens Erik Martin Olsson,Jimmie Landerman,SML Holding,Peter Nilsson;;58.,3;John Lemper;Eva Nilsagard;22,86;Kushagr Punyani,Sundha Srivastava,Johan Kallstrand,Bertil Lindkvist,Emilie Hultin Takwa;;Mikrobolag;100;67,5;spermosens.com;Eminova 
Lipum;2021-04-22;First North;G&W FK ;3;76;                          -43        ;151;31,8;100;Goran Kallebo,Tibia Konsult,Polynom Investment,Pegroco Invest,Christian von Koenigsegg;;75.,6;Einar Pontén;Ulf Bjorklund;20,24;Almi Invest,Olle Hernell via bolag,Susanne Lindquist via bolag,Lennart Lundberg via bolag,Adam Dahlberg;;Mikrobolag;99.83;-25,72;lipum.se;HWF Advokater 
Tellusgruppen;2021-04-28;First North;Mangold FK ;4;20;                          -7        ;100;8;100;P&CS invest,Mangold FK,Gerhard Dal,Per Nilsson,Per Vasilis;;80;Bijan Fahimi;Thomas Gür;77,12;Bina Holding,Malin Hokeberg,P&CS invest,Mangold FK,Gerhard Dal;;Mikrobolag;0;12,25;tellusgruppen.se;Delphi 
Sensor Alarm;2021-04-23;Spotlight;Sedermera Corporate Finance ;3;22;                          -63        ;65;8;100;Alderfalk Group,Jofur Invest,Consciousness,Öresund Growth Partner,Peter Nilsson;;50.,9;Martin Norseback;Peter Jakobsson;62,45;Nirion,Lazourion,Brickstream,Martin Norseback,Capsyd;;Mikrobolag;0;-10;www.sensoralarm.se;Markets & Corporate Law,Nordic Issuing 
Nord Insuretech Group;2020-02-14;First North;Ingen radgivare ;11;70;                          -94        ;471;13,75;100;;									Fårö Capital,					Strategic Investments,					Gryningskust Förvaltning,					Ivar Williksen,					Børge Leknes)			;100;Børge Leknes;Ole Morten Settevik;41,27;Ivar Williksen,Børge Leknes,Pal Lauvrak,Morten Kvarn,GM Holding;;Smabolag;0;-70,18;hudya.se;Hagberg & Aneborn FK,Torngren Magnell,Selmer 
