Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Candles Scandinavia;2021-11-08;First North;Nordic Issuing,Carlsquare ;1;25;                          -1        ;509;65;100;;;0;Viktor Garmiani;Ulf Gejhammar;81,84;Viktor Garmiani (VD och grundare) via Garcap Investment,Petter Berggren via Berggren Holding,Lennart Larsson via Alntorp,Ilija Batljan Invest,Ulf Gejhammar via Gejhammar Management;;Smabolag;0;2,37;www.candles.se;Baker McKenzie 
Compodium;2021-11-09;First North;Redeye ;3;65;                          -54        ;268;26;100;Quinary Investment,Concejo,Beijer Ventures,ES Aktiehandel,Faro Capital;;76.,9;Charlotte Berg;Thomas Flinck;21,92;Concejo,Nordisk Specialtextil i Jorn,Quinary Investment,Amit Walia och Martijn Voorhoeve via FWA Associates,Bengt Grahn;;Smabolag;0;-21,54;www.compodium.com;Kaiding,Nordnet Bank 
Volvo Car Group;2021-10-29;Nasdaq Stockholm;Goldman Sachs,SEB ;3;20000;                          21        ;157253;53;100;AMF,Swedbank Robur Fonder,If Skadeforsakring,Nordea Fonder,Skandia Fonder;;70.,5;Hakan Samuelsson;Li Shufu;0,06;Geely Holding,AMF,Folksam,Swedbank Robur Fonder;;Miljardbolag;100;23,02;group.volvocars.com;BNP Paribas,HSBC,J.P Morgan,Morgan Stanley,Nordea,Carnegie,Swedbank,Avanza Bank,Nordnet Bank 
Pagero Group;2021-10-22;First North;Nordea,SEB ;3;500;                          -40        ;3701;24;100;Swedbank Robur Fonder,I&T Asset Management;;46;Bengt Nilsson;Birger Steen;16,2;Summa Equity,Swedbank Robur Fonder,Bengt Nilsson,Sjatte AP-Fonden,HabourVest;;Miljardbolag;100;-8,96;www.pagero.com;Avanza Bank,Delphi,White & Case 
AutoStore Holdings;2021-10-20;Oslo Børs;Carnegie,J.P Morgan,Morgan Stanley ;1;14968;                          -8        ;99755;29;19;Alecta,FIL Investments International,Mawer Investment Management,WCM Investment Management;;46.,8;Karl Johan Lier;James C. Carlisle;0,82;Thomas H. Lee Partners (THL),Softbank,EQT,Investeringsbolag som saljer aktier at anstallda;									Thomas H. Lee Partners (THL),					EQT,					Investeringsbolag som saljer aktier at anstallda			;Miljardbolag;100;10,34;www.autostoresystem.com;ABG Sundal Collier,Citigroup,Jefferies,Mizuho Securities,Sparebank 1 Markets,Moelis & Company,Thommessen,Kirkland & Ellis,Walkers,Wiersholm,Milbank 
Netel Holding;2021-10-15;Nasdaq Stockholm;DNB,Nordea ;2;725;                          -9        ;2242;48;28;Carnegie Fonder,Berenberg via investeringsfond,Strand Kapitalforvaltning,Norron Asset Management;;41.,4;Ove Bergkvist;Hans Petersson;3,83;Cinnamon International,Carnegie Fonder,Berenberg via investeringsfond,Strand Kapitalforvaltning,Norron Asset Management;									Cinnamon International,					Övriga nuvarande och tidigare anstallda,					Styrelse och ledning			;Miljardbolag;7.45;-0,21;netelgroup.com;Swedbank,Linklaters,Baker McKenzie 
XP Chemistries;2021-10-29;First North;Mangold FK ;3;35;                          -41        ;105;4,5;100;Mangold FK,Jula miljo och energi (kundvarukedjan Jula),Organofuel Sweden,Armando Cordova med bolag,Jonas Hafrén;;80.,1;Erik Nelson;Armando Cordova;41,59;Armando Cordova via bolag,Samon Afewerki privat och via bolag,Jula miljo ochenergi,Mangold FK,Organofuel Sweden;;Mikrobolag;0;1,33;sv.xpchemistries.com;Gulliksson 
Qlucore;2021-11-05;First North;Stockholm Corp. ;4;90;                          -47        ;260;64,5;100;Rutger Arnhult via M2 Asset Management,Eiffel Investment Group via bolag,John Fallstrom via Rothesay,Cantaloupe,Ej namngivna;;83.,3;Carl-Johan Ivarsson;Pia Gideon;18,71;Rutger Arnhult via M2 Asset Management,Goran Lundberg via GLD Invest,Carl-Johan Ivarsson,Johan Rade,Magnus Fontes;;Smabolag;0;-14,74;www.qlucore.com;Lindahl,Hagberg & Aneborn 
SolidX;2021-11-03;Spotlight;Nordic Issuing ;1;25;                          -17        ;155;5;0;Jorgen Bertilsson,Mikael Lunga,Kiraly Laszlo,Contrix,Carl-Victor Hammarsten;;7.,8;Filip Alexanderson;Gabriel Paulison;84,1;Filip Alexanderson;									Filip Alexanderson			;Smabolag;0;-16;www.solidx.se;Shark Communication,Markets & Corporate Law 
BuildData Group;2018-03-15;First North;Remium ;3;50;                          -93        ;170;24;100;Humle,Ålandsbanken,Oliver Molse, m.fl.,LMK,Jens Mioen;;80;Brendan O'Riordan;Brian McGuire;49,49;B.McGuire,M.White,Humle,Ålandsbanken,Oliver Molse, m.fl.;;Smabolag;0;-1,25;www.zutec.com/site;Nordnet Bank,Gerard Jones,MAQS,Reddy Charlton,Hagberg & Aneborn FK 
